error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation,error collocation,correction collocation
make,VERB,do,make refurbishment,do refurbishment,1,1073,refurbishment,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make cosplay,do cosplay,1,1073,cosplay,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make pr'is,do pr'is,1,1073,pr'is,misc-ap-0,140,74,4016,0,0,0,0
person,NOUN,people,person chinese,people chinese,4,1827,chinese,misc-ap-0,170,68,1888,0,1,0,1
person,NOUN,people,person creative,people creative,2,1827,creative,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person handed,people handed,2,1827,handed,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person eminent,people eminent,1,1827,eminent,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person american,people american,2,1827,american,misc-ap-0,170,68,1888,0,2,0,2
person,NOUN,people,person unlucky,people unlucky,1,1827,unlucky,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person unimportant,people unimportant,1,1827,unimportant,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person legendary,people legendary,2,1827,legendary,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person outgoing,people outgoing,2,1827,outgoing,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person affective,people affective,1,1827,affective,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person nostalgic,people nostalgic,1,1827,nostalgic,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person homeless,people homeless,1,1827,homeless,misc-ap-0,170,68,1888,1,11,1,11
person,NOUN,people,person bedridden,people bedridden,1,1827,bedridden,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person cute,people cute,3,1827,cute,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person unfamiliar,people unfamiliar,2,1827,unfamiliar,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person noisy,people noisy,1,1827,noisy,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person mannered,people mannered,3,1827,mannered,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person unreliable,people unreliable,1,1827,unreliable,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person skillful,people skillful,1,1827,skillful,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person smart,people smart,5,1827,smart,misc-ap-0,170,68,1888,0,2,0,2
person,NOUN,people,person helpless,people helpless,1,1827,helpless,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person experienced,people experienced,1,1827,experienced,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person japanese,people japanese,49,1827,japanese,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person unacquainted,people unacquainted,1,1827,unacquainted,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person favorite,people favorite,3,1827,favorite,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person western,people western,1,1827,western,misc-ap-0,170,68,1888,0,1,0,1
person,NOUN,people,person competitive,people competitive,1,1827,competitive,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person likely,people likely,1,1827,likely,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person unsuccessful,people unsuccessful,1,1827,unsuccessful,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person irresponsible,people irresponsible,1,1827,irresponsible,misc-ap-0,170,68,1888,0,0,0,0
